,name,guiname,plural,desc
#,Socialist,사회주의자,사회주의자,"사회주의자는 부유층에서 빈곤층으로 부의 재분배를 통해 자유시장이 만들어낸 불평등을 해소해야 한다고 믿는다. 따라서 큰 정부가 세금을 거둬 의료, 교육, 주거, 교통과 같은 필수적인 서비스를 모두에게 제공해야 한다고 말한다. 사회주의자는 궁극적으로 '능력에 따라 일하고 필요에 따라 분배하는' 이상사회를 지향한다."
#,Capitalist,자본주의자,자본주의자,"자본주의자는 자유시장의 '보이지 않는 손'이 자원을 가장 효율적이고 공정하게 배분한다고 믿는다. 따라서 개인이 노동해 얻은 성과는 각자의 소유이고 국가가 기업을 방해해서는 안된다는 기본 원칙이 지켜져야 한다고 말한다. 그렇기에 공공의료보험과 같은 국가의 시장 개입은 결국 시장을 왜곡하는 것이며, 땀흘린 노력의 성과를 멋대로 가져가 노력하지 않은 이들에게 나누어 주어선 안된다고 주장한다."
#,Retired,퇴직자,퇴직자,"퇴직자는 보통 은퇴한 이들을 지칭하지만, 은퇴한 뒤에도 노동을 계속 하는 고령자도 있다. 퇴직자는 투표율이 높고 정치운동에 참여할 시간이 많기 때문에 강력한 정치세력이 된다. 또한 일반 시민에 비해 의료정책에 관심이 많고, 대부분이 연금생활자이기 때문에 연금의 변화에 매우 민감하게 반응한다."
#,Commuter,통근자,통근자,"통근자는 거주지와 직장을 오가며 근무하는 사람으로, 자동차, 기차, 버스, 전철, 트램 등의 교통수단을 이용하게 된다. 따라서 통근자에게 교통비가 얼마나 들고 교통 체증이 얼마나 심한지는 중요한 정치적 쟁점이 된다. 통근자가 교통 정체로 도로에 갇혀있거나 파업으로 출근하지 못했다면 이를 두고 정치에 불만을 표출할 시간이 많을 것이라는 점은 잘 알아둘 필요가 있다."
#,Patriot,애국자,애국자,"애국심은 종종 선거철에 정치공세로 이용되고는 하지만, 애국심을 국가 정체성의 핵심적인 부분으로 여기는 유권자도 있다. 애국자는 뚜렷한 국가 정체성과 강력한 국방력, 강한 국경통제를 강하게 지지한다."
#,Motorist,운전자,운전자,"운전자 사이에서도 열렬한 자동차 애호가와 종종 경차를 타는 사람이 나뉠 수는 있지만, 그래도 모두 자동차세, 도로통행료, 유류세, 교통체증, 친환경차 보조금에 영향을 받는 것은 다름이 없다. 그렇기 때문에 운전자 역시 선거에서는 중요한 집단이 될 수 있다."
#,Liberal,진보주의자,진보주의자,"진보주의자는 한 문장으로 정의하기에는 복잡한 집단이다. 진보주의가 사회주의와 같다는 인식이 흔한 나라도 있지만, 진정한 진보주의는 개인의 자유와 인권에 대한 믿음이라 할 수 있고, 이는 부분적으로 다른 유권자 집단과 겹치고는 한다. 진보주의자는 국가의 감시에 강하게 반대하며, 성적 자기결정권과 총기소유 그리고 오락성 약물에 이르기까지 넓은 범위에서 개인의 선택을 존중해야 한다는 원칙을 지지한다."
#,Religious,종교인,종교인,"종교인 사이에서도 어떤 종교적 믿음을 얼마나 강하게 갖는가는 각기 다르지만, 유권자로서의 종교인은 대체로 종교학교와 종교교육에 호의적이며, 종교 기념일을 법정공휴일로 지정하거나 교회에 대한 신성모독을 금지시키는 법안을 지지한다. 또한 원칙적으로 낙태와 줄기세포 연구에 부정적이다. 대체로 종교에 기반한 정치적 견해는 저개발 국가에서 지지를 많이 받는 편이다."
#,TradeUnionist,노동조합원,노동조합원,"노동조합원은 대기업 노동자의 권리를 매우 중요시 여기고, 임금 인상, 노동시간 단축, 노동자의 직장 내 권리 보장을 위해 투쟁한다. 노조 가입률이 높다면 파업과 같은 단체행동에 더 많은 지지가 모일 수 있다. 그리고 낮은 임금과 높은 실업률, 복지정책의 미비는 노조 가입률을 높이는 요소가 될 수 있다."
#,SelfEmployed,자영업자,자영업자,"자영업자는 중소기업의 대표와 배관공이나 전기기술자와 같은 개인사업자를 포괄한다. 기업가와 개인사업자는 과도한 정부 규제나 노동권 보장에서 생겨나는 관료비용을 싫어한다. 또한 부가가치세와 양도소득세를 직접 납부하기 때문에 세율 조정에 더욱 민감하다."
#,Environmentalist,환경주의자,환경주의자,"환경주의자는 다양한 정치 성향과 결합할 수 있지만, 환경오염과 기후변화, 동물권에 관심이 크다는 점은 변하지 않는다. 이러한 문제를 다루는 데에는 다양한 정책이 동원될 수 있지만, 환경주의자는 그 방법보다는 결과에 더 관심이 많은 편이다. 공해가 심해지고 기상이변이 잦아질수록 더 많은 시민들이 환경주의자 집단에 합류하게 될 것이다."
#,Wealthy,부유층,부유층,"부유층은 개인의 노력이나 상속을 통해 부를 쌓은 이들로, 부유세와 소득세, 사치세에서 가장 많이 뜯기게 될 이들이기도 하다. 하지만 부유층은 다른 사회집단에 비해 재산이나 국적을 옮기기 쉽기 때문에 실질적으로는 세금을 거두기가 쉽지 않다. 또한 부유층에 진입하기를 원하는 중산층은 미래에 부유층이 되었을 때 세금 부담이 크게 늘어나는 것을 원하지 않는 경향이 있다."
#,Poor,빈곤층,빈곤층,"빈곤층은 경제적으로 어려워 국가의 복지 급여에 의존도가 높은 편이며, 경제적 불평등의 해소와 상위 1%의 부유층에서 나머지 99%에게 부를 이전시켜 줄 조치에 지대한 관심을 보인다. 임금 수준에 따라 빈곤층의 실업률은 크게 달라질 수 있다."
#,MiddleIncome,중산층,중산층,"중산층은 전통적으로 인구에서 차지하는 비율이 높지만, 경제적 불평등이 심해지면 그 비율이 줄어들기 쉽다. 중산층은 보통 정치적으로 온건하고, 취업자이며, 자가용을 소유해 자유로이 연휴를 즐긴다. 그리고 자기 집 소유에 강한 열망을 보인다. 또한 중산층은 급격한 사회 불안이나 범죄에 사회가 무너지면 직격탄을 맞기 때문에 중도적인 경향이 있다."
#,Parents,부모,부모,"부모는 얼마나 어린 자식을 몇 명이나 두었는지에 따라 관련 정책에 대한 민감도가 달라진다. 어린 자식 여럿을 키우고 있는 부모는 보육비용과 수당, 교육의 질과 비용에 매우 민감하게 반응할 것이다. 또한 학교안전과 통학환경도 중요한 쟁점이 되고는 한다."
#,Farmers,농부,농부,"농부가 실제 직업인 사람 뿐만 아니라 관련 산업 종사자와 농촌 인구를 포괄하는 유권자 집단이다. 농촌지역 유권자는 수도권 유권자와는 다른 정책 우선순위를 보이고, 특히 농업보조금과 관련 세금을 핵심 쟁점으로 여긴다. 식량 생산에서도 과도한 규제를 가한다면 인기를 빠르게 잃을 수 있다."
#,StateEmployees,공무원,공무원,"공공기관이나 공기업에서 근무하는 사람은 모두 공무원으로 분류된다. 이는 공공의료인력과 교직원, 경찰, 군인, 지방공무원 등을 포괄한다. 공무원은 공공지출 삭감시 임금과 직업 전망에 직격탄을 맞기 때문에 이에 매우 민감하게 반응한다."
#,Conservatives,보수주의자,보수주의자,"보수주의자는 진보주의자와 상극에 있으며, 전통적 가족 가치를 전폭적으로 지지한다. 또한 마약 자유화에 반대하고 성추문과 성폭력 논란에 크게 분노한다. 보수주의자는 정체성 정치, 동성결혼, 간통과 성매매 비범죄화 역시 좋아하지 않는다."
#,Young,청년층,청년층,"청년층은 선거권을 가질 나이는 되었으나 아직 교육을 받고 있거나 최근까지 받았던 이들이 대부분이다. 따라서 자연히 연금이나 정년보다는 교육정책에 더 많은 관심을 보인다. 또한 일부 청년층은 대학생시절 생긴 학자금 대출을 아직 상환하는 중일 수도 있다. 중년층에 비해 정치적으로 적극적인 경향이 있다."
#,EthnicMinorities,소수민족,소수민족,"소수민족은 나라마다 달라서 어디서는 흑인이, 다른 곳에서는 백인이, 또 어디선가는 원주민들이 소수민족에 해당할 수도 있다. 당연히 소수민족은 사회의 인종차별에 큰 걱정을 보이고, 이민정책에서의 차별대우에도 관심이 많다. 또한 해외에 친족을 두고 온 경우가 많아 대외관계와 관련된 정책에 뚜렷한 의견을 보이기도 한다."
#,_All_,전국민,전국민,"전 국민 모든 유권자를 포괄하는 집단으로, 연령, 직업, 계층과 무관하게 전 국민에 동일한 영향을 주는 행위와 정책, 상황에만 영향을 받는다."
